ToLID,BioProject_ID,Organism
 mHipLar1,PRJNA776886,Hipposideros larvatus
 bHirRus1,PRJNA641117,Hirundo rustica
 mHomSap3,PRJNA562213,Homo sapiens
 fHopMal1,PRJNA952991,Hoplias malabaricus
 aHylSar1,PRJNA945447,Hyla sarda
 sHypSab1,PRJNA976741,Hypanus sabinus
,PRJEB60010,Hyperoodon ampullatus
,PRJEB58244,Hyperoplus immaculatus
 mJacJac1,PRJNA776884,Jaculus jaculus
 mKogBre1,PRJNA903912,Kogia breviceps
,PRJEB63507,Labrus mixtus
 rLacAgi1,PRJNA562214,Lacerta agilis
,PRJEB60663,Lagenorhynchus albirostris
 bLagMut1,PRJNA843060,Lagopus muta
 fLamInc1,PRJNA952990,Lampris incognitus
 mLemCat1,PRJNA562215,Lemur catta
 mLoxAfr1,PRJNA970377,Loxodonta africana
,PRJEB35340,Lutra lutra
 fLycPai1,PRJNA928479,Lycodopsis pacificus
 mLynCan4,PRJNA533103,Lynx canadensis
 rMalTer1,PRJNA923333,Malaclemys terrapin pileata
 mManPen7,PRJNA972736,Manis pentadactyla
,PRJEB31554,Mastacembelus armatus
 fMegCyp1,PRJNA562216,Megalops cyprinoides
,PRJEB59776,Melanostigma gelatinosum
 fMelBoe1,PRJNA562218,Melanotaenia boesemani
,PRJEB46333,Meles meles
 bMelUnd1,PRJNA562220,Melopsittacus undulatus
 bMelGeo1,PRJNA927021,Melospiza georgiana
 bMerNub1,PRJNA562222,Merops nubicus
 mMesDen1,PRJNA875937,Mesoplodon densirostris
,PRJEB32739,Microcaecilia unicolor
,PRJEB64068,Microchirus variegatus
 sMobBir1,PRJNA954412,Mobula birostris
 assembly and annotation,PRJNA674390,Molossus molossus
 mMonDom1,PRJNA922994,Monodelphis domestica
,PRJEB59719,Mus musculus
 mMusErm1,PRJNA562223,Mustela erminea
 mMusLut2,PRJNA986837,Mustela lutreola
,PRJEB61137,Myotis daubentonii
,PRJNA674393,Myotis myotis
,PRJEB33189,Myripristis murdjan
,PRJEB64098,Nansenia antarctica
 fNeoGra1,PRJNA922166,Neoarius graeffei
 mNeoNeb1,PRJNA927027,Neofelis nebulosa
,PRJEB64092,Nesoenas mayeri
 mMacEug1,PRJNA928718,Notamacropus eugenii
 fNotCel1,PRJNA562225,Notolabrus celidotus
,PRJEB59163,Notothenia rossii
 bNycGra1,PRJNA562227,Nyctibius grandis
 mNycCou1,PRJNA915385,Nycticebus coucang
 mOchPri1,PRJNA988022,Ochotona princeps
 fOdoBon6,PRJNA923338,Odontesthes bonariensis
,PRJEB39771,Onychomys torridus
,PRJEB51334,Orcinus orca
 mOrnAna1,PRJNA513296,Ornithorhynchus anatinus
,PRJEB64080,Osmerus eperlanus
 fPanHyp1,PRJNA915404,Pangasianodon hypophthalmus
,PRJEB30286,Parambassis ranga
 bPelCri1,PRJNA986544,Pelecanus crispus
 fPerMag1,PRJNA562229,Periophthalmus magnuspinnatus
 kPetMar1,PRJNA562230,Petromyzon marinus
 bPhaSup1,PRJNA789234,Phaethornis superciliosus
,PRJEB57282,Phalacrocorax aristotelis
 mPhoSin1,PRJNA560233,Phocoena sinus
 bPhoRub2,PRJNA562231,Phoenicopterus ruber ruber
 fPhoLeu1,PRJNA776880,Pholidichthys leucotaenia
,PRJEB43809,Pholis gunnellus
,PRJEB59308,Phoxinus phoxinus
 mPhyDis1,PRJNA521246,Phyllostomus discolor
 assembly and annotation,PRJNA674391,Pipistrellus kuhlii
,PRJEB39566,Pipistrellus pipistrellus
,PRJEB61049,Pipistrellus pygmaeus
,PRJEB59806,Platichthys flesus
,PRJEB56054,Pleuronectes platessa
 bPluApr1,PRJNA717218,Pluvialis apricaria
,PRJEB61854,Podarcis cretensis
 rPodRaf1,PRJNA914745,Podarcis raffonei
bPodStr1,PRJNA926650,Podargus strigoides
 bPogPus1,PRJNA641122,Pogoniulus pusillus
,PRJEB60645,Pollachius pollachius
 bPorHoc1,PRJNA776871,Porphyrio hochstetteri
 sPriPec2,PRJNA562240,Pristis pectinata
,PRJEB63436,Protomyctophum parallelum
 aPseCor3,PRJNA928730,Pseudophryne corroboree
,PRJEB64768,Psittacula echo
 bPteGut1,PRJNA562241,Pterocles gutturalis
,PRJEB59310,Pungitius pungitius
 fPygNat1,PRJNA562242,Pygocentrus nattereri
,PRJEB61690,Raja brachyura
,PRJEB42239,Rana temporaria
 mRatBN7,PRJNA662962,Rattus norvegicus
 bPtePen1,PRJNA928731,Rhea pennata
,PRJEB32113,Rhinatrema bivittatum
 rRhiFlo1,PRJNA972733,Rhineura floridana
 mRhiFer1,PRJNA526698,Rhinolophus ferrumequinum
 bRhyJub1,PRJNA922141,Rhynochetos jubatus
 bRisTri1,PRJNA911786,Rissa tridactyla
 assembly and annotation,PRJNA674394,Rousettus aegyptiacus
,PRJEB61621,Rutilus rutilus
,PRJEB33185,Salarias fasciatus
 fSalBra1,PRJNA976265,Salminus brasiliensis
,PRJEB33201,Salmo trutta
 fScaArg1,PRJNA776881,Scatophagus argus
,PRJEB35387,Sciurus carolinensis
,PRJEB35381,Sciurus vulgaris
,PRJEB31997,Scleropages formosus
fScoJap1,PRJNA914746,Scomber japonicus
,PRJEB35946,Scyliorhinus canicula
 fSebUmb1,PRJNA562243,Sebastes umbrosus
,PRJEB55446,Silurus aristotelis
,PRJEB61337,Solea solea
 mSorAra2,PRJNA922145,Sorex araneus
,PRJEB31904,Sparus aurata
 aSpeBom1,PRJNA915367,Spea bombifrons
,PRJEB33178,Sphaeramia orbicularis
 bSphHub1,PRJNA922133,Spheniscus humboldti
,PRJEB59952,Squalius cephalus
,PRJEB60665,Stenella coeruleoalba
 bSteHir1,PRJNA560234,Sterna hirundo
,PRJEB32727,Streptopelia turtur
 bStrHab1,PRJNA510145,Strigops habroptila
 mSunEtr1,PRJNA844068,Suncus etruscus
 bSylAtr1,PRJNA560235,Sylvia atricapilla
 bSylBor1,PRJNA562244,Sylvia borin
,PRJEB32743,Syngnathus acus
